,Cena,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Możliwość finansowania,Faktura VAT,Kraj pochodzenia,Pierwsza rejestracja,Zarejestrowany w Polsce,Pierwszy właściciel,Serwisowany w ASO,Stan,ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Czujniki parkowania tylne,Kamera cofania,Kurtyny powietrzne,Poduszki boczne przednie,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,Elektryczne szyby tylne,Klimatyzacja automatyczna,Nawigacja GPS,Relingi dachowe,Centralny zamek,Immobilizer,Radio fabryczne,Czujniki parkowania przednie,ESP (stabilizacja toru jazdy),Komputer pokładowy,Podgrzewane lusterka boczne,Tempomat,Metalik,Bezwypadkowy,Klimatyzacja manualna,Czujnik deszczu,Czujnik zmierzchu,VAT marża,Alarm,Tapicerka welurowa,ASR (kontrola trakcji),Przyciemniane szyby,Radio niefabryczne,Isofix,Ogranicznik prędkości,Poduszki boczne tylne,MP3,Perłowy,Elektrochromatyczne lusterko wsteczne,Światła przeciwmgielne,Uszkodzony,Podgrzewane przednie siedzenia,Światła Xenonowe,Poduszka powietrzna chroniąca kolana,Dach panoramiczny,Ogrzewanie postojowe,Szyberdach,Elektrochromatyczne lusterka boczne,Hak,Bluetooth,Gniazdo AUX,Filtr cząstek stałych,Gniazdo SD,Światła LED,Asystent parkowania,Gniazdo USB,HUD (wyświetlacz przezierny),Odtwarzacz DVD,Światła do jazdy dziennej,Akryl (niemetalizowany),Asystent pasa ruchu,Czujnik martwego pola,Klimatyzacja dwustrefowa,Podgrzewana przednia szyba,System Start-Stop,Leasing,Emisja CO2,Tapicerka skórzana,Miesięczna rata,Tempomat aktywny,Tuning,Zmieniarka CD,Podgrzewane tylne siedzenia,Elektrycznie ustawiane fotele,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Regulowane zawieszenie,Kierownica po prawej (Anglik),Klimatyzacja czterostrefowa,Zarejestrowany jako zabytek,Homologacja ciężarowa,Matowy,Łopatki zmiany biegów
10,5700,Firmy,Osobowe,Opel,Astra,G (1998-2009),2002,196 360 km,1 686 cm3,Diesel,75 KM,Manualna,Na przednie koła,Kompakt,5,5,Niebieski,0,0,Niemcy,18 październik 2002,0,0,Tak,Używane,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,Tak,Tak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6999,Osoby prywatnej,Osobowe,Opel,Astra,H (2004-2014),2005,136 000 km,1 700 cm3,Diesel,0,Manualna,Na przednie koła,Kombi,5,5,Srebrny,0,0,0,0,Tak,0,0,Używane,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,Tak,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,11900,Osoby prywatnej,Osobowe,Opel,Astra,H (2004-2014),2004,211 000 km,1 364 cm3,Benzyna,90 KM,Manualna,Na przednie koła,Kompakt,5,5,Srebrny,0,0,0,0,Tak,Tak,Tak,Używane,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,Tak,Tak,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12900,Firmy,Osobowe,Opel,Astra,H (2004-2014),2004,182 000 km,1 600 cm3,Benzyna,105 KM,Manualna,Na przednie koła,Kombi,5,5,Srebrny,Tak,0,Niemcy,10 grudzień 2004,0,0,Tak,Używane,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,Tak,Tak,1,0,0,Tak,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,16900,Osoby prywatnej,Osobowe,Opel,Astra,H (2004-2014),2009,174 262 km,1 796 cm3,Benzyna,140 KM,Manualna,Na przednie koła,Kombi,5,5,Srebrny,0,0,Niemcy,0,0,Tak,Tak,Używane,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,Tak,Tak,0,1,1,Tak,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,29990,Firmy,Osobowe,Opel,Astra,J (2009-2015),2013,169 000 km,1 598 cm3,Benzyna,115 KM,Manualna,Na przednie koła,Kombi,5,5,Biały,Tak,Tak,Polska,22 sierpień 2013,Tak,Tak,Tak,Używane,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,Tak,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4900,Osoby prywatnej,Osobowe,Opel,Astra,G (1998-2009),2000,115 520 km,1 200 cm3,Benzyna,0,Manualna,0,Sedan,0,0,Srebrny,0,0,Belgia,0,0,0,0,Używane,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Tak,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,24900,Firmy,Osobowe,Opel,Astra,J (2009-2015),2010,200 000 km,1 956 cm3,Diesel,160 KM,Manualna,Na przednie koła,Kompakt,5,4,Srebrny,Tak,Tak,Polska,22 listopad 2010,Tak,0,0,Używane,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,Tak,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,22900,Osoby prywatnej,Osobowe,Opel,Astra,H (2004-2014),2010,108 700 km,1 598 cm3,Benzyna+LPG,116 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,0,0,Niemcy,0,0,Tak,Tak,Używane,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,Tak,Tak,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Tak,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,10600,Firmy,Osobowe,Opel,Astra,H (2004-2014),2005,228 000 km,1 900 cm3,Diesel,100 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,Tak,0,Niemcy,0,Tak,Tak,Tak,Używane,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,Tak,Tak,1,0,0,Tak,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,33999,Firmy,Osobowe,Opel,Astra,J (2009-2015),2013,134 000 km,1 700 cm3,Diesel,110 KM,Manualna,Na przednie koła,Kompakt,5,5,Szary,Tak,0,Niemcy,0,0,Tak,Tak,Używane,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,Tak,Tak,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,11900,Firmy,Osobowe,Opel,Astra,H (2004-2014),2005,281 000 km,1 910 cm3,Diesel,120 KM,Manualna,Na przednie koła,Kombi,5,5,Niebieski,0,0,Polska,2 styczeń 2006,Tak,0,Tak,Używane,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,Tak,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Tak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,23999,Firmy,Osobowe,Opel,Astra,J (2009-2015),2010,116 000 km,1 400 cm3,Benzyna,0,0,0,Kompakt,0,0,Srebrny,Tak,0,Niemcy,0,Tak,0,Tak,Używane,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,Tak,0,0,1,1,Tak,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1900,Firmy,Osobowe,Opel,Astra,G (1998-2009),2003,118 300 km,0,Benzyna+LPG,0,0,0,Kompakt,0,0,Srebrny,0,0,0,0,0,0,0,Używane,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Tak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,12990,Firmy,Osobowe,Opel,Astra,H (2004-2014),2004,184 000 km,2 000 cm3,Benzyna,180 KM,Manualna,0,Kompakt,5,5,Czarny,0,0,0,0,0,0,0,Używane,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,Tak,Tak,0,0,0,Tak,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,83500,Firmy,Osobowe,Opel,Astra,K (2015-),2017,10 km,1 400 cm3,Benzyna,150 KM,Manualna,Na przednie koła,Kombi,5,5,Szary,0,Tak,0,0,0,0,Tak,Nowe,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,Tak,Tak,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,15000,Firmy,Osobowe,Opel,Astra,H (2004-2014),2006,129 800 km,1 600 cm3,Benzyna,105 KM,Manualna,Na przednie koła,Kombi,5,5,Szary,0,0,Belgia,23 marzec 2006,0,0,Tak,Używane,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,Tak,Tak,0,1,1,Tak,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,58000,Firmy,Osobowe,Opel,Astra,J (2009-2015),2018,10 km,1 600 cm3,Benzyna,115 KM,Manualna,Na przednie koła,Sedan,4,5,Czarny,0,0,0,0,0,0,0,Nowe,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,Tak,Tak,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,34000,Firmy,Osobowe,Opel,Astra,J (2009-2015),2013,41 140 km,1 400 cm3,Benzyna,140 KM,Manualna,Na przednie koła,Auta miejskie,0,0,Srebrny,0,0,Niemcy,0,0,0,Tak,Używane,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tak,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,13900,Osoby prywatnej,Osobowe,Opel,Astra,H (2004-2014),2009,221 000 km,1 900 cm3,Diesel,0,Manualna,0,Kombi,5,5,Szary,0,0,0,0,Tak,Tak,0,Używane,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,Tak,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,49900,Firmy,Osobowe,Opel,Astra,K (2015-),2015,71 800 km,1 399 cm3,Benzyna,125 KM,Manualna,Na przednie koła,Kompakt,5,5,Srebrny,0,Tak,Polska,23 listopad 2015,Tak,Tak,Tak,Używane,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,Tak,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,4500,Firmy,Osobowe,Opel,Astra,G (1998-2009),1998,307 000 km,1 600 cm3,Benzyna+LPG,100 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,0,0,0,0,Tak,0,0,Używane,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Tak,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,30900,Firmy,Osobowe,Opel,Astra,J (2009-2015),2014,177 132 km,1 700 cm3,Diesel,130 KM,Manualna,Na przednie koła,Kompakt,5,5,Srebrny,Tak,Tak,Polska,21 marzec 2014,Tak,Tak,Tak,Używane,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,Tak,Tak,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Tak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,12900,Firmy,Osobowe,Opel,Astra,H (2004-2014),2004,176 200 km,1 600 cm3,Benzyna,105 KM,Manualna,Na przednie koła,Kompakt,5,5,Szary,Tak,0,Niemcy,0,0,Tak,0,Używane,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,Tak,0,0,0,Tak,1,1,1,1,0,0,0,1,0,Tak,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,13600,Osoby prywatnej,Osobowe,Opel,Astra,H (2004-2014),2006,126 000 km,1 600 cm3,Benzyna,105 KM,Manualna,Na przednie koła,Sedan,5,5,Szary,0,0,0,0,0,Tak,Tak,Używane,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,Tak,Tak,0,1,0,Tak,1,1,0,0,0,0,1,1,1,Tak,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4 g/km,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,13700,Firmy,Osobowe,Opel,Astra,H (2004-2014),2008,256 000 km,1 686 cm3,Diesel,125 KM,Manualna,Na przednie koła,Kombi,5,5,Srebrny,Tak,0,Niemcy,wrzesień 2008,0,0,Tak,Używane,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,Tak,Tak,1,1,1,Tak,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,12900,Firmy,Osobowe,Opel,Astra,H (2004-2014),2004,179 000 km,1 400 cm3,Benzyna,0,Manualna,Na przednie koła,Auta miejskie,5,5,Niebieski,0,0,Niemcy,1 listopad 2004,0,Tak,Tak,Używane,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,Tak,Tak,1,0,0,Tak,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,64900,Firmy,Osobowe,Opel,Astra,K (2015-),2016,80 043 km,1 598 cm3,Diesel,136 KM,Manualna,Na przednie koła,Kombi,5,5,Szary,Tak,Tak,Polska,13 maj 2016,Tak,Tak,Tak,Używane,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Tak,Tak,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
